NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR
220,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,GENIO ISS,4079350,25
221,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3400000,23
222,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,8900000,35
223,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT CBS FI,3400000,32
224,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT CW FI,1700000,23
225,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEWVARIOTECHNOCBS FI,3050000,23
226,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,3600000,17
227,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1750000,23
228,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,23
229,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,MIO CW GARNISH,2656019,14
230,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,4762849,22
231,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,4900000,35
232,BOJONGKONENG,NGAMPRAH,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 G,9300000,35
233,CIMAREME,NGAMPRAH,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,R15,5000000,35
234,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,1900000,33
235,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,1900000,35
236,KAYUAMBON,LEMBANG,KAB. BANDUNG,MOTOR BEKAS,PIAGGIO,SPRINT 150 3V IE,3207000,29
237,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,1308960,35
238,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,AEROX 155 VVA S,6700000,35
239,GUNUNGMASIGIT,CIPATAT,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 G,6400000,35
240,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 150 ESP SPORTY,14200000,35
241,LAKSANAMEKAR,PADALARANG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,10000000,29
242,MELONG,CIMAHI SELATAN,KOTA BANDUNG,MOTOR BARU,PIAGGIO,VESPA LX 125 I-GET,8000000,33
243,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,NINJA 250,22000000,35
244,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,PIAGGIO,PRIMAVERA 150 ABS,13000000,21
245,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,CBR 150 R,11475000,17
246,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,17
247,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,PIAGGIO,PRIMAVERA 150 ABS,9400000,33
248,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NSCOOPY FI SPRT MTRO,4100000,33
249,SUKAJAYA,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,4300000,33
250,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 ESPCBS ISS,4400000,35
251,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,KAWASAKI,W175 TR SE,7900000,23
252,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 ESPCBS ISS,7900000,35
253,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,4450000,35
254,PADALARANG,PADALARANG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,W175 TR SE,8200000,23
255,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2100000,35
256,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,15000000,23
257,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3000000,22
258,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,6000000,11
259,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,33
260,CIPATIK,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 CBS ISS,5000000,35
261,KERTAMULYA,PADALARANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 G,4800000,35
262,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,MIO M3 125,2000000,15
263,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY SPORTY,5000000,33
264,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,4500000,33
265,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,1800000,35
266,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125ESP CBS ISS,3000000,35
267,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2000000,33
268,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,6500000,35
269,MARGA LAKSANA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 CBS ISS,3000000,35
270,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 CBS ISS,2900000,35
271,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,SCOOPY ESP,2200000,35
272,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,1593963,30
273,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,AEROX 155 VVA,4257675,29
274,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,MIO SOUL GT,574029,27
275,WANGUNHARJA,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CW FI,4038703,24
276,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,R15,5616300,30
277,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,GENIO CBS,642339,32
278,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,3847185,31
279,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,4000000,35
280,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,3400000,35
281,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,SCOOPY,1446414,30
282,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,CBR 150 RC,12864350,32
283,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,LEXI,5087319,25
284,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,SCOOPY ESP,3629212,26
285,SUNTENJAYA,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,6102769,25
286,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,4721609,28
287,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,5600000,35
288,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,CRF 150 L,9500000,35
289,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,2065623,27
290,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,6440795,25
291,PASIRKALIKI,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,3150000,35
292,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5000000,23
293,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,CBR 150 R,13235142,21
294,WANGUNSARI,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,4100000,33
295,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,1740601,32
296,SARIWANGI,PARONGPONG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT CBS FI,3400000,35
297,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,KLX 150 G,7700000,35
298,CEMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,KLX 150 S,5100000,23
299,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,5100000,33
300,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,5100000,29
301,ISOLA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,5000000,33
302,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3000000,23
303,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,3683169,17
304,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,2780508,33
305,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,33
306,WANGUNHARJA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CB 150 R STREETFIRE,2500000,29
307,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,3100000,35
308,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,4700000,35
309,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,34
310,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,2900000,23
311,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125 CBS ISS,5500000,35
312,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,3800000,33
313,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,5400000,23
314,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,10911430,20
315,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125 ESP CBS,8737814,18
316,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT CBS FI,5482077,19
317,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,7378551,17
318,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,SCOOPY FI CLASSIC,11840065,9
319,TENJOLAUT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2400000,35
320,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 G,7000000,35
321,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 150 ESP SPORTY,2600000,33
322,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,1957260,35
323,KAYUAMBON,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,SCOOPY FI CLASSIC,4768753,23
324,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7400000,33
325,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2681667,27
326,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,CB 150 R,2855000,23
327,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,5075000,17
328,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,PIAGGIO,VESPA GTS 150 3V IE,16350186,14
329,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4512264,27
330,PASIRLANGU,CISARUA,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,5500000,34
331,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,KAWASAKI,KLX 150 BF,12748409,26
332,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,5000000,32
333,ISOLA,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,KAWASAKI,NINJA 150 RR SE,13552737,19
334,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY SPORTY,4100000,22
335,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,3800000,35
336,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,2400000,17
337,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,W175 TR SE,6600000,33
338,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,4300000,17
339,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3000000,22
340,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,22
341,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,3000000,17
342,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,AEROX 155 VVA S,3500000,23
343,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2000000,17
344,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,33
345,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,ADV 150 CBS,7500000,33
346,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,10500000,23
347,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,LEXI,3900000,29
348,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT ESP CBS ISS DLX,2650000,23
349,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1925000,11
350,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,PIAGGIO,SPRINT 150 3V IE,15000000,17
351,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1075000,23
352,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,2050000,35
353,KAYUAMBON,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5300000,33
354,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2000000,35
355,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2650000,35
356,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,CB 150 R STREETFIRE,2685316,31
357,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,FREEGO,4505935,25
358,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,3432135,30
359,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3608829,25
360,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NVARIO 125 ESP CBS,3768536,25
361,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,1242781,32
362,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2781299,29
363,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2565501,28
364,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,3000000,35
365,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3337446,29
366,LEMBANG,LEMBANG,KAB. BANDUNG,MOTOR BEKAS,HONDA,BEAT CW FI,1360724,28
367,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2035328,31
368,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NMAX ABS,4901765,30
369,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,5251245,23
370,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,2884209,32
371,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,AEROX 155 VVA R,5500000,35
372,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,5000000,35
373,JATIMEKAR,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5800000,29
374,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,SCOOPY ESP,5600000,35
375,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2425640,30
376,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3700000,29
377,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA RR,6200000,35
378,CIHANJUANG RAHAYU,PARONGPONG,KAB. BANDUNG,MOTOR BARU,HONDA,NVARIO 125 ESP CBS,4300000,33
379,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,4600000,23
380,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CBS,5500000,35
381,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5200000,35
382,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,AEROX 155 VVA R,5100000,23
383,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,3600000,30
384,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,NEW AEROX 155 C,5200000,35
385,MEKARWANGI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW JUPITER MX CW,2050000,35
386,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2700000,35
387,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,8250000,23
388,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CBR 150 REPSOL,4000000,35
389,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,7400000,33
390,TUGUMUKTI,CISARUA,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,FREEGO,2900000,35
391,SUKAJAYA,LEMBANG,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,ALL NEW VIXION,7200000,23
392,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,2900000,23
393,LEBAK SILIWANGI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,3700000,23
394,KARYAWANGI,PARONGPONG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2700000,35
395,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33
396,WANGUNHARJA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,10200000,35
397,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,NEX FI,1600000,23
398,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,SCOOPY ESP,3500000,17
399,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW VARIO TECHNO FI,2300000,23
400,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2550000,35
401,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW R15 155 VVA,25923168,8
402,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,8159777,11
403,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,8391334,14
404,KERTAJAYA,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,6598435,17
405,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW VARIO TECHNO CBS,6045728,23
406,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,2600000,35
407,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,YAMAHA,LEXI,5000000,35
408,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3125000,29
409,MUKAPAYUNG,CILILIN,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,6000000,35
410,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW VARIO CW FI,2300000,35
411,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,GENIO CBS,2700000,35
412,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,4513829,24
413,LEBAK SILIWANGI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,ADV 150 CBS,5435649,24
414,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,SCOOPY ESP,12300000,15
415,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,CB 150 R,1750000,17
416,BOJONGHALEUANG,SAGULING,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 G,7000000,23
417,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO110 CBS ISS,3576887,22
418,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,3200000,23
419,GALANGGANG,BATUJAJAR,KAB. BANDUNG,MOTOR BARU,KAWASAKI,NINJA 250 SL,16000000,35
420,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,22
421,SUKAHAJI,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,33
422,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2700000,33
423,CAMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,29
424,BATUJAJAR TIMUR,BATUJAJAR,KAB. BANDUNG,MOTOR BARU,PIAGGIO,SPRINT S I-GET150ABS,10700000,21
425,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33
426,PASIRKALIKI,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NEW CBR 150R STANDAR,11300000,35
427,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,XMAX,14000000,35
428,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 125 CBS ISS,5200000,33
429,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT CW FI,1975000,11
430,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VERZA 150 CW,2525000,11
431,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,1900000,35
432,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,4500000,33
433,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,PCX150,3300000,35
434,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,SCOOPY ESP,5600000,35
435,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,1900000,35
436,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 CBS ISS,3413614,31
437,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,3622189,29
438,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,AEROX 155 VVA,5973142,29
439,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,CRF 150 L,5568012,29
440,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,CRF 150 L,8029529,27
